domestic eggs, Dairy-Eggs-Cheese/Eggs/Eggs
female sanitary products, Personal-Care-Health/Feminine-Care
finished products, ?
fish, Meat-Seafood/Fish-Shellfish/Fish
flour, Condiments-Spice-Bake/Baking-Ingredients/Flour
flower (seeds), Flowers
flower soil/fertilizer, Flowers
frankfurter, Meat-Seafood/SausageHot-Dogs-Bacon/Dinner-Sausage
frozen chicken, Meat-Seafood/Prepared-Frozen-Meat/Chicken
frozen dessert, Frozen-Foods/Frozen-Fruits-Dessert/Frozen-Pies-Desserts
frozen fish, Meat-Seafood/Prepared-Frozen-Meat/Seafood
frozen fruits, Frozen-Foods/Frozen-Fruits-Dessert/Frozen-Fruit-Berries
frozen meals, Frozen-Foods/Frozen-Meals-Sides/Frozen-Meals
frozen potato products, Frozen-Foods/Frozen-Vegetables/Frozen-Potatoes-Onions
frozen vegetables, Frozen-Foods/Frozen-Vegetables
fruit/vegetable juice, Beverages/Juice-Nectars/Juice-Drink-Multipacks
grapes, Fruits-Vegetables/Fresh-Fruits/Grapes
hair spray, Personal-Care-Health/Hair-Care/Kids-Family
ham, Meat-Seafood/Salami-Lunch-Meats/Lunch-Meat--Pork
hamburger meat, Meat-Seafood/Beef/Ground-Beef
hard cheese, Dairy-Eggs-Cheese/Cheese/Sandwich-Cheese
herbs, Fruits-Vegetables/Fresh-Vegetables-Herbs/Herbs
honey, Condiments-Spice-Bake/Honey-Syrup-Nectar/Honey-Agave-Nectar
house keeping products, Paper-Cleaning-Home/Cleaners-Supplies
hygiene articles, Personal-Care-Health
ice cream, Frozen-Foods/Ice-Cream-Novelties/Ice-Cream
instant coffee, Beverages/Coffee/Instant-Coffee-Mix
Instant food products, ?
jam, Condiments-Spice-Bake/JamSpreads-Condiments/Jams-Jelly-Spreads
ketchup, Condiments-Spice-Bake/JamSpreads-Condiments/Ketchup
kitchen towels, Paper-Cleaning-Home/Paper-Products/Paper-Towels
kitchen utensil, Paper-Cleaning-Home/Kitchen-Accessories/Gadgets-Utensils
light bulbs, Paper-Cleaning-Home/Hardware-Home-Needs/Light-Bulbs
liqueur, Wine-Beer-Spirits/Spirits/Liqueur
liquor, Wine-Beer-Spirits/Beer-Ciders-Malts/Domestic-Beer
liquor (appetizer), Wine-Beer-Spirits/Beer-Ciders-Malts/Domestic-Beer
liver loaf, Meat-Seafood/Beef/Variety-Meats
long life bakery product, Condiments-Spice-Bake/Baking-Dough-Mixes
make up remover, Personal-Care-Health/Skin-Care-Cosmetics/Facial-Cleansers
male cosmetics, Personal-Care-Health/Shave-Needs/Mens-After-Shave
margarine, Dairy-Eggs-Cheese/Butter-Sour-Cream/Margarine-Spreads
mayonnaise, Condiments-Spice-Bake/JamSpreads-Condiments/Mayonnaise
meat, Meat-Seafood/Prepared-Frozen-Meat
meat spreads, Canned-Goods-Soups/Canned-Meat-Seafood/Beef-Pork
misc. beverages, Beverages/Soft-Drinks-Seltzer
mustard, Condiments-Spice-Bake/JamSpreads-Condiments/Mustard
napkins, Paper-Cleaning-Home/Tableware-Trash-Bags/Napkins
newspapers, ?
nut snack, Cookies-Snacks-Candy/Popcorn-Nuts-Jerky/Nuts
nuts/prunes, Fruits-Vegetables/Nuts-Dried-Fruits
oil, Condiments-Spice-Bake/Vinegar-Oil/Olive-Oil
onions, Fruits-Vegetables/Fresh-Vegetables-Herbs/Onions-Garlic
organic products, ?
organic sausage, ?
other vegetables, Fruits-Vegetables/Fresh-Vegetables-Herbs/Specialty-Vegetables
packaged, Fruits-Vegetables/Packaged-Produce-Tofu/Packaged-Vegetables
pasta, Grains-Pasta-Sides/Pasta-Pasta-Sauce/Dry-Pasta
pastry, Bread-Bakery/Breakfast-Bakery/Pastries-Croissants
pet care, Pet-Care
photo/film, ?
pickled vegetables, Condiments-Spice-Bake/Pickles-Relish-Olives
pip fruit, Fruits-Vegetables/Fresh-Fruits/Apples
popcorn, Cookies-Snacks-Candy/Popcorn-Nuts-Jerky/Popcorn--Unpopped
pork, Meat-Seafood/Pork
potato products, Frozen-Foods/Frozen-Vegetables/Frozen-Potatoes-Onions
pot plants, Flowers
preservation products, Condiments-Spice-Bake
processed cheese, Dairy-Eggs-Cheese/Cheese/Loaf-Block-Cheese
prosecco, Wine-Beer-Spirits/Specialty-Wine-Champagne/Champagne-Sparkling-Wine
pudding powder, Condiments-Spice-Bake/Baking-Dough-Mixes/Pudding-Mousse
ready soups, Canned-Goods-Soups/Soup-Broth-Bouillon/Ready-to-Serve-Soup
red/blush wine, Wine-Beer-Spirits/Domestic-Wine
rice, Grains-Pasta-Sides/Rice-Beans-Grains/Rice
roll products, Bread-Bakery/Breakfast-Bakery/Pastries-Croissants
rolls/buns, Bread-Bakery/Breakfast-Bakery/Pastries-Croissants
root vegetables, Fruits-Vegetables/Fresh-Vegetables-Herbs/Radishes-Roots
rubbing alcohol, Personal-Care-Health/First-Aid/Alcohol-Peroxide
rum, Wine-Beer-Spirits/Spirits/Rum
salad dressing, Condiments-Spice-Bake/Salad-Dressing-Topping/Bottled-Dressings
salt, Condiments-Spice-Bake/SeasoningSpices-Herbs/Salt
salty snack, Cookies-Snacks-Candy/Popcorn-Nuts-Jerky/Trail-Mix
sauces, Grains-Pasta-Sides/Pasta-Pasta-Sauce
sausage, Meat-Seafood/SausageHot-Dogs-Bacon/Dinner-Sausage
seasonal products, Fruits-Vegetables/Fresh-Fruits/Seasonal-Stone-Fruit
semi-finished bread, Bread-Bakery/Bakery-Bread/Baguettes-Loaves
shopping bags, Paper-Cleaning-Home/Tableware-Trash-Bags
skin care, Personal-Care-Health/Skin-Care-Cosmetics
sliced cheese, Dairy-Eggs-Cheese/Cheese/Sandwich-Cheese
snack products, Cookies-Snacks-Candy
soap, Personal-Care-Health/Skin-Care-Cosmetics/Bar-Soap
soda, Beverages/Soft-Drinks-Seltzer/Specialty-Natural-Soda
soft cheese, Dairy-Eggs-Cheese/Cheese/Cream-Cheese
softener, Paper-Cleaning-Home/Laundry/Fabric-Softener
sound storage medium, ?
soups, Canned-Goods-Soups/Soup-Broth-Bouillon/Ready-to-Serve-Soup
sparkling wine, Wine-Beer-Spirits/Specialty-Wine-Champagne/Champagne-Sparkling-Wine
specialty bar, Cookies-Snacks-Candy/Candy-Gum-Mints/Specialty-Chocolates
specialty cheese, Deli/Deli-Specialty-Foods/Deli-Style-Snacks
specialty chocolate, Cookies-Snacks-Candy/Candy-Gum-Mints/Specialty-Chocolates
specialty fat, Deli/Deli-Specialty-Foods
specialty vegetables, Deli/Deli-Specialty-Foods
spices, Condiments-Spice-Bake/Sauce-Marinades-Mixes/Dry-Mixes
spread cheese, Dairy-Eggs-Cheese/Cheese/Cream-Cheese
sugar, Condiments-Spice-Bake/Baking-Ingredients/Sugar
sweet spreads, Condiments-Spice-Bake/JamSpreads-Condiments/Jams-Jelly-Spreads
syrup, Condiments-Spice-Bake/Honey-Syrup-Nectar/Syrups
tea, Beverages/Hot-Tea-Cider-Cocoa/Tea-Chai
tidbits, Canned-Goods-Soups/Canned-Fruit/Fruit-Cups-Pouches
toilet cleaner, Paper-Cleaning-Home/Cleaners-Supplies/Bathroom-Toilet
tropical fruit, Fruits-Vegetables/Fresh-Fruits/Tropical-Fruit
turkey, Meat-Seafood/Salami-Lunch-Meats/Lunch-Meat--Poultry
UHT-milk, Dairy-Eggs-Cheese/Milk-Cream/Milk
vinegar, Condiments-Spice-Bake/Vinegar-Oil/Vinegar
waffles, Frozen-Foods/Frozen-Breakfast-Items/Waffles-Pancakes
whipped/sour cream, Dairy-Eggs-Cheese/Butter-Sour-Cream/Sour-Cream
whisky, Wine-Beer-Spirits/Spirits/Whiskey
white bread, Bread-Bakery/Bakery-Bread/Baguettes-Loaves
white wine, Wine-Beer-Spirits/Domestic-Wine
whole milk, Dairy-Eggs-Cheese/Milk-Cream/Milk
yogurt, Dairy-Eggs-Cheese/Yogurt-Pudding/Yogurt
zwieback, Bread-Bakery/Bakery-Bread/Sandwich-Bread
